时间,商品名称,库存变化,单笔销量
2026-09-02 18:55:30,yeti,50019->50016,3
2026-09-02 19:02:33,yeti,50016->50015,1
2026-09-02 19:46:25,yeti,50015->50012,3
2026-09-02 21:18:29,yeti,50012->50009,3
2026-09-02 21:35:16,yeti,50009->50008,1
2026-09-02 21:37:02,yeti,50008->50009,-1
2026-09-02 21:41:44,yeti,50009->50008,1
2026-09-02 22:04:22,yeti,50008->50006,2
2026-09-02 22:08:21,yeti,50006->50005,1
2026-09-02 22:59:49,yeti,50005->50004,1
2026-09-02 23:00:12,yeti,50004->50003,1
2026-09-02 23:01:07,yeti,50003->50004,-1
2026-09-02 23:08:55,yeti,50004->50003,1
2026-09-02 23:27:49,yeti,50003->50002,1
2026-09-02 23:35:58,yeti,50002->50001,1
2026-09-02 23:55:26,yeti,50001->50000,1
2026-09-02 23:57:07,yeti,50000->50001,-1
2026-09-03 00:12:52,yeti,50001->49998,3
2026-09-03 00:54:45,yeti,49998->49994,4
2026-09-03 01:14:38,yeti,49994->49991,3
2026-09-03 01:15:43,yeti,49991->49994,-3
2026-09-03 01:17:08,yeti,49994->49991,3
2026-09-03 01:18:12,yeti,49991->49988,3
2026-09-03 01:19:04,yeti,49988->49991,-3
2026-09-03 01:20:07,yeti,49991->49994,-3
2026-09-03 01:22:39,yeti,49994->49991,3
2026-09-03 01:24:04,yeti,49991->49994,-3
